source,item_id,run,model,area,question_type,question,reference_answer,response,llm_Gemini Flash 3,llm_Nemotron 3 Super 120b a12,llm_OSS 120b,human_score,human_notes
groundtruth,HS-ESS2-068,,,HS-ESS2,applied,"If a section of mantle rock near Earth's core heats up and becomes less dense, which direction will it move, and what happens to the cooler, denser rock above it?","The hotter, less dense rock rises toward the surface while the cooler, denser rock sinks downward, creating a convection current that cycles matter through the mantle.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-080,,,HS-ESS2,applied,"If you pour water on a steep, bare hillside versus a hillside covered with vegetation, which will experience more surface erosion and why?","The bare hillside will experience more erosion because plant roots bind soil particles together and foliage intercepts rainfall, reducing the kinetic energy of raindrops and slowing runoff; without vegetation, water flows faster and carries more soil particles downslope.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-034,,,HS-ESS2,conceptual,How does the warming of ocean surface water increase the intensity of hurricanes?,"Hurricanes draw their energy from warm ocean water, which evaporates rapidly and releases latent heat as it rises and condenses. Warmer sea surface temperatures supply more energy and moisture to a developing storm, intensifying wind speeds and rainfall, and in turn, the storm's churning mixes and cools the ocean surface, slightly reducing the fuel available.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-026,,,HS-ESS2,conceptual,Why is oceanic crust generally younger than continental crust?,"Oceanic crust is continuously created at mid-ocean ridges and destroyed at subduction zones, so it is recycled over tens of millions of years, while continental crust is less dense and resists subduction, allowing it to persist for billions of years.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-028,,,HS-ESS2,conceptual,Why do volcanoes commonly form at tectonic plate boundaries?,"At convergent boundaries, the subducting plate releases water into the mantle, lowering the melting point of rock and generating magma that rises to the surface; at divergent boundaries, reduced pressure on the mantle as plates separate also causes rock to melt and erupt.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-022,,,HS-ESS2,recall,"What are stromatolites, and why are they important to Earth's history?","Stromatolites are layered rock structures formed by microbial mats, primarily cyanobacteria. They are among the oldest known fossils (~3.5 billion years old) and provide evidence that early life played a key role in producing the oxygen that transformed Earth's atmosphere.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-004,,,HS-ESS2,recall,What is a positive feedback loop in Earth's climate system?,"A positive feedback loop is one in which an initial change triggers responses that amplify or reinforce the original change, pushing the system further in the same direction. For example, melting ice reduces albedo, causing more warming, which melts more ice.",,1.0,1.0,1.0,,
groundtruth,HS-ESS2-013,,,HS-ESS2,recall,"What is the specific heat capacity of liquid water, and why is it significant for Earth's surface processes?","The specific heat capacity of liquid water is approximately 4,184 J/(kg·°C). This unusually high value means water absorbs and releases large amounts of heat with only small temperature changes, which moderates Earth's climate and surface temperatures.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-045,,,HS-ESS3,applied,The city of San Francisco is built along the San Andreas Fault. How has the known hazard of earthquakes influenced the way buildings are constructed there compared to cities in geologically stable regions?,"San Francisco enforces strict seismic building codes that require structures to be earthquake-resistant, using flexible foundations and reinforced materials to absorb shaking, measures that are largely unnecessary and therefore absent in cities located far from active fault zones.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-052,,,HS-ESS3,applied,A city installs permeable pavement in a parking lot instead of standard asphalt. How does this change the way rainwater interacts with the local groundwater system?,"Permeable pavement allows rainwater to filter through gaps into the soil below, recharging groundwater supplies and reducing surface runoff. This mimics natural infiltration processes, decreasing the volume of stormwater that would otherwise carry pollutants into nearby streams or cause flooding.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-065,,,HS-ESS3,applied,A hydrological model shows that paving over large areas of land in a city reduces water infiltration into the soil. What would the model predict happens to runoff and local flood risk during heavy rainstorms?,"Impervious pavement prevents rainwater from soaking into the ground, so more water flows directly into storm drains and streams. The model would predict increased peak runoff volumes and higher flood risk compared to the same storm over unpaved land.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-040,,,HS-ESS3,conceptual,Why does melting Arctic sea ice create a feedback loop that accelerates warming?,"Sea ice is highly reflective (high albedo) and bounces solar energy back into space. When it melts, it exposes darker ocean water, which absorbs more solar radiation, raising temperatures further and causing even more ice to melt—a positive feedback loop.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-031,,,HS-ESS3,conceptual,Why does an increase in atmospheric CO2 cause global average temperatures to rise?,"CO2 is a greenhouse gas that absorbs infrared radiation emitted by Earth's surface and re-radiates it back downward, trapping heat in the lower atmosphere and raising surface temperatures.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-079,,,HS-ESS3,conceptual,Why do permeable pavement systems help reduce the impact of urban development on local water systems?,"Permeable pavement allows rainwater to seep through the surface into the ground rather than running off into storm drains. This reduces the volume and speed of stormwater runoff, which helps prevent flooding, decreases water pollution carried into streams, and allows groundwater to be naturally recharged.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-009,,,HS-ESS3,recall,What is bioremediation?,"Bioremediation is a technological process that uses living organisms, such as bacteria or plants, to break down or neutralize pollutants in contaminated soil or water, restoring the natural environment.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-003,,,HS-ESS3,recall,What does the term 'externality' mean when evaluating the costs of an energy project?,"An externality is a cost or benefit that affects parties not directly involved in a project; in energy development, negative externalities include environmental damage or public health impacts that are not reflected in the market price of the resource.",,1.0,1.0,1.0,,
groundtruth,HS-ESS3-012,,,HS-ESS3,recall,What is green infrastructure in the context of managing stormwater?,"Green infrastructure refers to natural or semi-natural systems—such as rain gardens, permeable pavement, and green roofs—that manage stormwater by allowing water to infiltrate the ground, reducing runoff and pollution entering waterways.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-072,,,HS-ETS1,applied,A simulation models a proposed coastal seawall and predicts it will protect one neighborhood from flooding but increase erosion two kilometers down the shoreline. What does this result demonstrate about using simulations for engineering decisions?,"It demonstrates that simulations reveal unintended consequences in connected systems; a solution that meets criteria for one area can create new problems elsewhere, and engineers must evaluate the solution across the entire relevant system, not just the target location.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-057,,,HS-ETS1,applied,"An engineering team building a wildfire-resistant home breaks the project into sub-problems including roofing, siding, and window design. If the window sub-problem is not solved adequately, how could that affect the whole system?","Even if all other components are fire-resistant, unresolved window vulnerabilities—such as glass cracking from heat—could allow embers or flames to enter the home, causing the entire fire-resistant design to fail.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-058,,,HS-ETS1,applied,A team is designing a bicycle helmet to protect against both high-speed impacts and low-speed falls. They treat each impact type as a separate sub-problem. Why is this approach better than designing for both scenarios simultaneously?,"Treating each as a separate sub-problem allows the team to optimize the material thickness and energy-absorption properties for each specific impact type before finding a combined solution, rather than making poorly informed compromises from the start.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-036,,,HS-ETS1,conceptual,Why do engineers often assign different sub-problems to specialized teams or experts when solving a complex real-world problem?,"Specialists have deep knowledge in their particular area, so they can solve their assigned sub-problem more efficiently and accurately than a generalist could. This division of labor speeds up the overall process and improves the quality of each component.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-029,,,HS-ETS1,conceptual,How does the scale of a global challenge affect the complexity of the criteria and constraints engineers must define?,"Larger-scale challenges involve more diverse populations, environments, and systems, which means more variables must be accounted for in the criteria and constraints. This complexity makes it harder to create a single solution and often requires engineers to balance many competing and sometimes conflicting requirements.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-084,,,HS-ETS1,conceptual,How does considering a solution's environmental impact affect the trade-offs an engineer must make?,"Reducing environmental impact often requires using more expensive materials, adding filtration systems, or limiting certain design features, which creates trade-offs with cost or performance. Engineers must weigh the long-term environmental benefits against these added constraints.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-077,,,HS-ETS1,recall,What is a 'criterion' in the context of engineering design?,"A criterion is a specific goal or desired outcome that a successful engineering solution must meet, such as a required strength, speed, or efficiency level.",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-095,,,HS-ETS1,recall,What does it mean for a design requirement to be quantitative rather than qualitative?,"A quantitative requirement is expressed with specific, measurable numbers (such as 'the bridge must support at least 10,000 pounds'), whereas a qualitative requirement is described in non-numerical terms (such as 'the structure must be durable').",,1.0,1.0,1.0,,
groundtruth,HS-ETS1-079,,,HS-ETS1,recall,What does 'aesthetics' mean as a factor in evaluating an engineering solution?,"Aesthetics refers to the visual appearance, style, or sensory qualities of a design—how it looks, feels, or sounds—which can affect whether users find it appealing or acceptable.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-074,,,HS-LS1,applied,"A plant absorbs CO₂ and water to make glucose through photosynthesis. If a cell then uses that glucose to build the amino acid glycine, what additional element beyond carbon, hydrogen, and oxygen must be incorporated, and where might it come from?","Nitrogen must be added, typically sourced from nitrate or ammonium ions absorbed from the soil. The nitrogen is incorporated into the amino group (–NH₂) of glycine, which cannot be formed from sugar's C, H, and O alone.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-065,,,HS-LS1,applied,"A salamander loses its tail and regrows it over several weeks. Which cellular process is primarily responsible for rebuilding the lost tissue, and why is that process used rather than meiosis?",Mitosis is responsible for regrowing the tail because it produces identical copies of cells needed to rebuild somatic (body) tissues. Meiosis is only used for producing reproductive cells and would not generate the right cell types for tissue repair.,,1.0,1.0,1.0,,
groundtruth,HS-LS1-062,,,HS-LS1,applied,"If the thyroid gland produces too much thyroid hormone (T3/T4), how does the hypothalamus-pituitary feedback loop respond to correct the imbalance?","High levels of thyroid hormone are detected by the hypothalamus and pituitary gland, which respond by reducing the release of TRH and TSH respectively; without TSH stimulation, the thyroid gland decreases its hormone production, returning levels to normal.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-042,,,HS-LS1,conceptual,How does the light-dependent stage of photosynthesis make the light-independent stage possible?,"The light-dependent reactions produce ATP and NADPH, which supply the energy and reducing power needed to drive the Calvin cycle (light-independent reactions). Without these products, the Calvin cycle cannot fix CO₂ into glucose.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-032,,,HS-LS1,conceptual,Why does a drop in blood calcium levels cause the parathyroid glands to release more parathyroid hormone (PTH)?,"Parathyroid cells detect low calcium in the blood and secrete PTH, which stimulates the bones to release calcium, the kidneys to reabsorb calcium, and the intestines to absorb more calcium. As blood calcium returns to normal, PTH secretion is reduced through negative feedback.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-048,,,HS-LS1,conceptual,Why is cellular respiration considered a chemical process rather than simply a physical breakdown of food?,"Cellular respiration involves the breaking of covalent bonds in reactant molecules and the formation of entirely new covalent bonds in different product molecules, which is the definition of a chemical reaction. Physical breakdown would only change the size or form of a substance without altering its chemical composition.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-003,,,HS-LS1,recall,What is transcription in the context of gene expression?,Transcription is the process by which the sequence of a gene in DNA is copied into a complementary strand of mRNA by the enzyme RNA polymerase.,,1.0,1.0,1.0,,
groundtruth,HS-LS1-092,,,HS-LS1,recall,What type of cells in the human body can still undergo mitosis to replace damaged or worn-out cells?,"Somatic (body) cells such as skin cells, liver cells, and blood-forming stem cells can undergo mitosis to replace damaged or worn-out cells throughout a person's life.",,1.0,1.0,1.0,,
groundtruth,HS-LS1-017,,,HS-LS1,recall,What gas is released as a byproduct of the light-dependent reactions in photosynthesis?,Oxygen (O₂) is released as a byproduct. It is produced when water molecules are split apart during the light-dependent reactions in a process called photolysis.,,1.0,1.0,1.0,,
groundtruth,HS-LS2-048,,,HS-LS2,applied,"A sealed jar contains pond water, algae, and small invertebrates with no access to outside air. Over time, the oxygen in the jar is used up. How will the decomposition of dead organisms in the jar change, and what gases would you expect to accumulate?","Decomposition will shift from aerobic to anaerobic conditions, so organisms like anaerobic bacteria will break down matter and produce gases such as methane and carbon dioxide instead of just carbon dioxide, and less energy will be released per unit of organic matter decomposed.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-064,,,HS-LS2,applied,"A city plans to build a highway through a forest, splitting it into two sections. What solution could engineers add to the highway design to help maintain biodiversity in the area?","Engineers could add wildlife crossing bridges or underpasses (wildlife corridors) that allow animals to move safely between the two forest sections, maintaining gene flow and reducing habitat fragmentation.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-052,,,HS-LS2,applied,"A grassland ecosystem has 10,000 kcal of energy stored in grass. If only 10% of energy transfers to each higher trophic level, how much energy is available to a hawk that eats snakes which eat mice that eat the grass?","Applying the 10% rule through four trophic levels: 10,000 kcal (grass) → 1,000 kcal (mice) → 100 kcal (snakes) → 10 kcal available to the hawk. Only 10 kcal, or 0.1% of the original energy, reaches the hawk.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-095,,,HS-LS2,conceptual,How does the removal of a keystone predator affect the carrying capacity for other species in an ecosystem?,"Removing a keystone predator allows prey populations to grow unchecked, which can overconsume vegetation or other resources, reducing the carrying capacity for many other species. This cascade of effects lowers overall biodiversity and can destabilize the entire ecosystem's resource balance.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-023,,,HS-LS2,conceptual,How do decomposers help cycle nutrients back into an ecosystem?,"Decomposers like bacteria and fungi break down dead organic matter into simpler inorganic compounds, releasing nutrients such as nitrogen and carbon back into the soil, water, and atmosphere. This makes those nutrients available again for producers like plants to absorb and incorporate into new organic matter.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-024,,,HS-LS2,conceptual,Why do food chains in real ecosystems rarely have more than four or five trophic levels?,"Because approximately 90% of energy is lost at each trophic level, there is very little energy remaining by the fourth or fifth level to support additional consumers. The small amount of available energy would not be sufficient to sustain a viable population at higher trophic levels.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-088,,,HS-LS2,recall,What does the term 'dynamic equilibrium' mean when describing a stable ecosystem?,"Dynamic equilibrium in an ecosystem means that while the populations of organisms fluctuate slightly over time, the overall numbers and types of species remain relatively consistent because births, deaths, immigration, and emigration are roughly balanced.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-086,,,HS-LS2,recall,"What is the term for the large reservoir of carbon stored in fossil fuels, rocks, and sediments within Earth's crust?","This reservoir is called the geosphere (or lithosphere). Carbon stored there includes coal, oil, natural gas, and carbonate rocks like limestone, representing long-term carbon storage.",,1.0,1.0,1.0,,
groundtruth,HS-LS2-094,,,HS-LS2,recall,What is a population's biotic potential?,Biotic potential is the maximum rate at which a population can increase under ideal conditions with unlimited resources and no limiting factors. It represents the theoretical upper limit of population growth.,,1.0,1.0,1.0,,
groundtruth,HS-LS3-057,,,HS-LS3,applied,"If scientists replace a faulty gene on a chromosome with a correct copy in a patient's cells, what would you predict happens to the trait that was affected by the faulty gene?","The corrected gene should allow the cell to produce a functional protein, potentially restoring or improving the trait that the faulty gene was disrupting.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-052,,,HS-LS3,applied,"During fertilization, a sperm with 23 chromosomes fuses with an egg with 23 chromosomes. What is the chromosome number of the resulting zygote, and what does this mean for inherited traits?","The zygote has 46 chromosomes and receives DNA-encoded trait instructions from both parents, combining genetic information from each.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-049,,,HS-LS3,applied,"If a cell has 46 chromosomes before undergoing meiosis, how many chromosomes will each resulting sperm or egg cell contain?","Each resulting sperm or egg cell will contain 23 chromosomes, because meiosis halves the chromosome number to produce haploid gametes.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-026,,,HS-LS3,conceptual,Why do humans have 46 chromosomes in most body cells but only 23 in egg and sperm cells?,"Meiosis halves the chromosome number so that when two sex cells fuse during fertilization, the resulting offspring has the correct total of 46 chromosomes. If sex cells had 46 chromosomes, fertilization would double the chromosome count each generation.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-024,,,HS-LS3,conceptual,Why can two parents with the same visible trait have a child who looks different from either of them?,"Parents can carry recessive alleles that are not expressed in their own appearance. If both parents pass on their recessive allele, the offspring may inherit two recessive copies and express a trait that neither parent visibly showed.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-037,,,HS-LS3,conceptual,How can environmental factors such as UV radiation cause genetic mutations?,"UV radiation causes adjacent thymine bases on a DNA strand to bond together, forming thymine dimers that distort the double helix, which can lead to errors during replication if the damage is not repaired.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-010,,,HS-LS3,recall,What type of mutation must occur in order for it to be passed on to offspring?,A mutation must occur in a germ cell (sperm or egg cell) in order to be inheritable and passed on to offspring.,,1.0,1.0,1.0,,
groundtruth,HS-LS3-100,,,HS-LS3,recall,What is polygenic inheritance?,"Polygenic inheritance is when a single trait is controlled by two or more genes. Because many gene combinations are possible, polygenic traits (such as human height or skin color) tend to show a wide, continuous range of variation in a population.",,1.0,1.0,1.0,,
groundtruth,HS-LS3-098,,,HS-LS3,recall,What is the difference between a gene and an allele?,"A gene is a section of DNA that codes for a specific trait, while an allele is a specific version or variant of that gene. For example, a gene may determine eye color, and different alleles of that gene code for blue or brown eyes.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-055,,,HS-LS4,applied,"A cheetah population has individuals with slight variation in leg-muscle strength. If faster cheetahs catch more prey and raise more offspring, what would you predict about the average running speed of the population after many generations?",Average running speed would increase over generations because faster cheetahs have greater reproductive success and pass their traits to offspring. Natural selection would shift the population toward greater speed as an adaptation.,,1.0,1.0,1.0,,
groundtruth,HS-LS4-044,,,HS-LS4,applied,Imagine two plant species competing for sunlight in the same field. One species grows 10% taller on average due to a heritable mutation. Predict how this competition will affect the shorter species over many generations.,"The taller plants shade out the shorter ones, reducing the shorter species' access to sunlight and lowering their reproductive success. Over many generations, if the trait difference is heritable and consistent, the shorter species may decline in the area while the taller species proliferates.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-046,,,HS-LS4,applied,"In a population of 200 beetles, 50 are green (camouflaged) and 150 are brown (visible) on green leaves. If birds eat visible beetles at twice the rate, predict how the proportion of green beetles will change over several generations.","The proportion of green beetles will increase over generations because brown beetles are selected against at a higher rate, leaving green beetles to survive and reproduce more, passing on the camouflage trait to more offspring.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-033,,,HS-LS4,conceptual,Why are species with very specialized traits more vulnerable to extinction when environmental conditions change?,"Highly specialized species depend on specific resources or conditions that may disappear when the environment changes. Because their traits are suited to a narrow set of conditions, they have limited ability to shift to alternative resources or habitats.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-075,,,HS-LS4,conceptual,Why do traits that improve survival get passed on to future generations more often than traits that reduce survival?,"Organisms with traits that improve survival are more likely to live long enough to reproduce, so they pass those traits to their offspring more frequently. Over generations, this causes beneficial traits to become more common in the population.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-024,,,HS-LS4,conceptual,Why does the rate at which an advantageous trait spreads through a population depend on how large the survival or reproductive advantage is?,"A greater advantage means carriers produce proportionally far more surviving offspring per generation than non-carriers, so the trait's frequency rises faster. A very slight advantage produces only a small difference in reproductive output each generation, causing the trait to spread slowly.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-015,,,HS-LS4,recall,What is speciation?,"Speciation is the evolutionary process by which new, distinct species arise, typically when populations become reproductively isolated and diverge genetically over time.",,1.0,1.0,1.0,,
groundtruth,HS-LS4-087,,,HS-LS4,recall,What does the term 'common ancestry' mean in evolutionary biology?,Common ancestry means that two or more species share a single ancestral species at some point in their evolutionary history. It is the idea that all life on Earth is related through a branching tree of descent.,,1.0,1.0,1.0,,
groundtruth,HS-LS4-013,,,HS-LS4,recall,What is meant by 'heritable variation' in a population?,Heritable variation refers to differences in traits among individuals in a population that can be passed from parents to offspring through genes.,,1.0,1.0,1.0,,
groundtruth,HS-PS1-068,,,HS-PS1,applied,"Lithium reacts with oxygen to form Li₂O, while cesium reacts much more vigorously to form Cs₂O. Using periodic table trends, explain why cesium is more reactive with oxygen than lithium.","Cesium is in the same group as lithium but much lower in the periodic table, so its single outermost electron is farther from the nucleus and more shielded by inner electron shells. This makes it much easier to remove, so cesium loses its outermost electron more readily than lithium and reacts more vigorously with oxygen.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-069,,,HS-PS1,applied,"Neon and argon are both found as unreactive gases in nature. If you tried to react argon with chlorine under normal conditions, what would you predict and why?","No reaction would occur because argon has a completely full outermost electron shell (eight electrons), giving it no tendency to gain, lose, or share electrons. Without an incomplete outer shell, argon has no chemical driving force to react with chlorine.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-073,,,HS-PS1,applied,A substance dissolves readily in water and conducts electricity when dissolved. How can you use this bulk-scale evidence to infer the type and strength of electrical forces in the original solid?,"The ability to dissolve in water and conduct electricity when dissolved suggests the substance is ionic, meaning it is held together by strong electrostatic attractions between oppositely charged ions that separate and carry charge in solution.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-039,,,HS-PS1,conceptual,Why is table salt (NaCl) a solid at room temperature while rubbing alcohol is a liquid?,"Table salt consists of oppositely charged ions held together by strong ionic (electrical) forces, requiring a lot of energy to break apart. Rubbing alcohol molecules are held together by weaker intermolecular forces, so less energy is needed to overcome them, leaving the substance liquid at room temperature.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-057,,,HS-PS1,conceptual,"Why does it seem like mass is lost when a piece of wood burns, even though the law of conservation of mass says mass is conserved?","Mass is not actually lost; the carbon and other atoms in the wood combine with oxygen from the air to form gases like carbon dioxide and water vapor that escape into the atmosphere. If all reactants and products — including the gases — were measured, the total mass would remain the same.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-030,,,HS-PS1,conceptual,Why does atomic radius generally decrease as you move from left to right across a period?,"As you move across a period, the number of protons increases while electrons are added to the same energy level. The greater nuclear charge pulls the outermost electrons closer to the nucleus, making the atom smaller.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-024,,,HS-PS1,recall,Why is it not acceptable to change a subscript in a chemical formula when balancing a chemical equation?,"Changing a subscript would alter the identity of the substance itself (e.g., H₂O would become H₃O, a different compound), so only coefficients may be changed to balance an equation without misrepresenting the actual chemicals involved.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-007,,,HS-PS1,recall,What does a substance's melting point tell you about the strength of the forces between its particles?,"A higher melting point indicates stronger electrical forces between particles, because more energy (heat) is required to overcome those attractions and change the substance from solid to liquid.",,1.0,1.0,1.0,,
groundtruth,HS-PS1-028,,,HS-PS1,recall,What is binding energy in the context of an atomic nucleus?,Binding energy is the energy required to completely separate all the protons and neutrons in a nucleus; it represents the energy released when a nucleus is formed and is responsible for holding the nucleus together.,,1.0,1.0,1.0,,
groundtruth,HS-PS2-048,,,HS-PS2,applied,"Two cars have the same engine applying the same net force, but one car has twice the mass of the other. How do their accelerations compare?","The lighter car accelerates twice as fast as the heavier one. Since a = F/m, doubling the mass while keeping force constant cuts the acceleration in half.",,1.0,1.0,1.0,,
groundtruth,HS-PS2-053,,,HS-PS2,applied,"A 1,200 kg car is braking and experiences a net force of 6,000 N backward. What is the magnitude of its deceleration?","The deceleration is 6,000 N ÷ 1,200 kg = 5 m/s². Because the net force acts opposite to the direction of motion, the car slows down at this rate.",,1.0,1.0,1.0,,
groundtruth,HS-PS2-064,,,HS-PS2,applied,"A football player wears shoulder pads made of stiff outer shells with soft foam inside. During a tackle, the outer shell spreads the impact over a larger area. How does spreading the force over a larger area reduce injury?","Spreading the force over a larger surface area reduces the pressure (force per unit area) on any single point of the body, lowering the likelihood of tissue damage even if the total force remains the same.",,1.0,1.0,1.0,,
groundtruth,HS-PS2-031,,,HS-PS2,conceptual,Why do astronauts in space move backward when they throw an object forward?,"In the absence of external forces, the total momentum of the astronaut-object system is conserved. Throwing an object forward gives it forward momentum, so the astronaut must move backward with equal and opposite momentum to keep the total at zero.",,1.0,1.0,1.0,,
groundtruth,HS-PS2-084,,,HS-PS2,conceptual,How does an airbag in a car reduce the force on a passenger during a crash?,"An airbag increases the time it takes for the passenger's momentum to reach zero by providing a cushion that compresses during impact. Since the change in momentum is fixed, spreading it over a longer time interval results in a smaller average force on the passenger, reducing the risk of injury.",,1.0,1.0,1.0,,
groundtruth,HS-PS2-027,,,HS-PS2,conceptual,How does Newton's third law explain why momentum is conserved during a collision between two objects?,"When two objects collide, they exert equal and opposite forces on each other for the same amount of time. These equal and opposite impulses cancel out, so the gain in momentum of one object exactly equals the loss in momentum of the other, keeping the total constant.",,1.0,1.0,1.0,,
groundtruth,HS-PS2-100,,,HS-PS2,recall,"In Coulomb's Law, what does it mean if the electrostatic force between two charges is negative?","A negative force in Coulomb's Law indicates that the force is attractive, which occurs when the two charges have opposite signs (one positive and one negative).",,1.0,1.0,1.0,,
