question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade
HS-PS1-020,HS-PS1,HS-PS1-6,recall,How does increasing the concentration of a reactant affect the position of equilibrium?,"Increasing the concentration of a reactant stresses the equilibrium, causing the reaction to shift in the forward direction to produce more products until a new equilibrium is reached.",claude-4.6-sonnet-thinking,13.99
HS-PS1-021,HS-PS1,HS-PS1-6,recall,"For a gaseous reaction, how does increasing the pressure affect the equilibrium position?","Increasing the pressure shifts the equilibrium toward the side of the reaction that has fewer moles of gas, because the system responds by reducing the total number of gas molecules to relieve the added pressure.",claude-4.6-sonnet-thinking,13.99
HS-PS1-022,HS-PS1,HS-PS1-7,recall,What does the Law of Conservation of Mass state about a chemical reaction?,"The Law of Conservation of Mass states that the total mass of the reactants equals the total mass of the products in a chemical reaction, meaning mass is neither created nor destroyed.",claude-4.6-sonnet-thinking,8.54
HS-PS1-023,HS-PS1,HS-PS1-7,recall,What does it mean when atoms are described as 'conserved' during a chemical reaction?,"When atoms are conserved, it means that no atoms are created or destroyed during the reaction; the same atoms that are present in the reactants are rearranged to form the products.",claude-4.6-sonnet-thinking,8.41
HS-PS1-024,HS-PS1,HS-PS1-7,recall,Why is it not acceptable to change a subscript in a chemical formula when balancing a chemical equation?,"Changing a subscript would alter the identity of the substance itself (e.g., H₂O would become H₃O, a different compound), so only coefficients may be changed to balance an equation without misrepresenting the actual chemicals involved.",claude-4.6-sonnet-thinking,12.41
HS-PS1-025,HS-PS1,HS-PS1-8,recall,What is nuclear fission?,"Nuclear fission is the process in which a heavy atomic nucleus splits into two smaller nuclei, releasing a large amount of energy and typically one or more neutrons.",claude-4.6-sonnet-thinking,6.62
HS-PS1-026,HS-PS1,HS-PS1-8,recall,What is radioactive decay?,"Radioactive decay is the spontaneous process by which an unstable atomic nucleus loses energy by emitting radiation, such as alpha particles, beta particles, or gamma rays, transforming into a different nucleus.",claude-4.6-sonnet-thinking,12.52
HS-PS1-027,HS-PS1,HS-PS1-8,recall,What is an alpha particle?,"An alpha particle is a type of radiation emitted during radioactive decay that consists of two protons and two neutrons, making it identical to a helium-4 nucleus.",claude-4.6-sonnet-thinking,5.24
HS-PS1-028,HS-PS1,HS-PS1-8,recall,What is binding energy in the context of an atomic nucleus?,Binding energy is the energy required to completely separate all the protons and neutrons in a nucleus; it represents the energy released when a nucleus is formed and is responsible for holding the nucleus together.,claude-4.6-sonnet-thinking,9.08
HS-PS1-029,HS-PS1,HS-PS1-1,conceptual,Why do elements in the same group of the periodic table have similar chemical properties?,"Elements in the same group have the same number of valence electrons, which determines how they interact with other atoms. Because chemical behavior is driven by the outermost electrons, elements sharing that configuration tend to react in similar ways.",claude-4.6-sonnet-thinking,11.5
HS-PS1-030,HS-PS1,HS-PS1-1,conceptual,Why does atomic radius generally decrease as you move from left to right across a period?,"As you move across a period, the number of protons increases while electrons are added to the same energy level. The greater nuclear charge pulls the outermost electrons closer to the nucleus, making the atom smaller.",claude-4.6-sonnet-thinking,10.56
HS-PS1-031,HS-PS1,HS-PS1-1,conceptual,Why do metals on the left side of the periodic table tend to lose electrons rather than gain them?,"Metals on the left side have only one or two valence electrons, and it takes less energy to remove those few electrons than to gain enough to fill the outer level. Losing electrons gives them a stable, full outer energy level.",claude-4.6-sonnet-thinking,8.59
HS-PS1-032,HS-PS1,HS-PS1-1,conceptual,Why does ionization energy generally increase across a period from left to right?,"As nuclear charge increases across a period without adding a new electron shell, the nucleus holds the valence electrons more tightly. This stronger attraction means more energy is required to remove an outermost electron.",claude-4.6-sonnet-thinking,13.08
HS-PS1-033,HS-PS1,HS-PS1-1,conceptual,Why are noble gases so unreactive compared to other elements?,"Noble gases have a completely full outermost energy level (typically eight electrons), giving them maximum stability. Because their valence shell is already full, they have little tendency to gain, lose, or share electrons with other atoms.",claude-4.6-sonnet-thinking,10.73
HS-PS1-034,HS-PS1,HS-PS1-2,conceptual,Why do noble gases almost never form chemical bonds with other elements?,"Noble gases have a full outermost electron shell (8 valence electrons), making them extremely stable and giving them little tendency to gain, lose, or share electrons with other atoms.",claude-4.6-sonnet-thinking,9.74
HS-PS1-035,HS-PS1,HS-PS1-2,conceptual,Why does sodium react so vigorously with chlorine to form sodium chloride?,"Sodium has one valence electron it readily loses, and chlorine has seven valence electrons and strongly attracts one more; the transfer of that electron gives both atoms a stable, full outer shell, releasing a large amount of energy in the process.",claude-4.6-sonnet-thinking,10.72
HS-PS1-036,HS-PS1,HS-PS1-2,conceptual,Why do elements in the same group of the periodic table tend to form similar chemical compounds?,"Elements in the same group have the same number of valence electrons, so they interact with other atoms in similar ways, leading to similar bonding behavior and chemical formulas for their compounds.",claude-4.6-sonnet-thinking,10.48
HS-PS1-037,HS-PS1,HS-PS1-2,conceptual,Why does fluorine pull electrons in a bond more strongly than oxygen does?,"Fluorine has a higher electronegativity than oxygen because it has more protons attracting the same outer-shell electrons across a shorter atomic radius, giving it a stronger pull on shared electrons in a chemical bond.",claude-4.6-sonnet-thinking,6.73
HS-PS1-038,HS-PS1,HS-PS1-3,conceptual,Why do substances with higher melting points generally have stronger electrical forces between their particles?,"A higher melting point means more energy is needed to overcome the attractions holding particles together. This indicates that the electrical (electrostatic) forces between those particles are stronger, requiring greater thermal energy to separate them.",claude-4.6-sonnet-thinking,13.86
HS-PS1-039,HS-PS1,HS-PS1-3,conceptual,Why is table salt (NaCl) a solid at room temperature while rubbing alcohol is a liquid?,"Table salt consists of oppositely charged ions held together by strong ionic (electrical) forces, requiring a lot of energy to break apart. Rubbing alcohol molecules are held together by weaker intermolecular forces, so less energy is needed to overcome them, leaving the substance liquid at room temperature.",claude-4.6-sonnet-thinking,9.09
HS-PS1-040,HS-PS1,HS-PS1-3,conceptual,How does the hardness of a material give us information about the electrical forces between its particles?,"Harder materials resist deformation because their particles are held together by stronger electrical forces that make it difficult to displace atoms or ions from their positions. A softer material has weaker interparticle forces, allowing particles to shift more easily under pressure.",claude-4.6-sonnet-thinking,13.25
HS-PS1-041,HS-PS1,HS-PS1-3,conceptual,Why does water have an unusually high boiling point compared to other small molecules of similar size?,"Water molecules form hydrogen bonds, which are relatively strong electrical attractions between the partially positive hydrogen of one molecule and the partially negative oxygen of another. These stronger-than-typical intermolecular forces require more energy to overcome, raising water's boiling point compared to similarly sized molecules that lack hydrogen bonding.",claude-4.6-sonnet-thinking,11.17
HS-PS1-042,HS-PS1,HS-PS1-4,conceptual,Why does breaking chemical bonds require energy while forming chemical bonds releases energy?,"Breaking bonds requires energy because you must overcome the attractive forces holding atoms together. Forming bonds releases energy because the atoms move to a more stable, lower-energy arrangement, releasing the excess energy as heat or light.",claude-4.6-sonnet-thinking,13.99
HS-PS1-043,HS-PS1,HS-PS1-4,conceptual,Why is a reaction considered exothermic when the energy released from forming new bonds is greater than the energy absorbed to break old bonds?,"In an exothermic reaction, the products have stronger (lower-energy) bonds than the reactants, so more energy is released during bond formation than was absorbed during bond breaking. The difference is released to the surroundings as thermal energy, causing the system to feel warm.",claude-4.6-sonnet-thinking,12.95
HS-PS1-044,HS-PS1,HS-PS1-4,conceptual,Why do endothermic reactions feel cold to the touch even though chemical bonds are being formed during the reaction?,"Although new bonds are being formed and releasing some energy, breaking the bonds in the reactants requires more energy than is released by forming the product bonds. The reaction absorbs the extra energy needed from the surroundings, lowering the temperature of the surrounding environment.",claude-4.6-sonnet-thinking,11.07
HS-PS1-045,HS-PS1,HS-PS1-4,conceptual,Why does a molecule with stronger chemical bonds generally store less potential energy than a molecule with weaker bonds?,"Stronger bonds hold atoms in a more stable, lower-energy configuration, meaning less potential energy is stored in the bond. Weaker bonds are less stable and hold more potential energy, which can be released when those bonds break and stronger bonds form in their place.",claude-4.6-sonnet-thinking,12.94
HS-PS1-046,HS-PS1,HS-PS1-5,conceptual,Why does increasing the temperature of reactants cause a chemical reaction to occur faster?,"Higher temperatures give particles more kinetic energy, so they move faster and collide more frequently. More importantly, a greater fraction of those collisions have enough energy to overcome the activation energy barrier, leading to more successful reactions per unit time.",claude-4.6-sonnet-thinking,11.78
HS-PS1-047,HS-PS1,HS-PS1-5,conceptual,How does lowering the temperature slow down a chemical reaction?,"Lower temperatures reduce the kinetic energy of particles, causing them to move more slowly and collide less frequently. Fewer collisions also have enough energy to overcome the activation energy threshold, so the reaction rate decreases.",claude-4.6-sonnet-thinking,9.55
HS-PS1-048,HS-PS1,HS-PS1-5,conceptual,Why is it important that collisions between reactant particles have a minimum amount of energy in order for a reaction to take place?,Reactants must overcome an energy barrier called activation energy in order to break existing chemical bonds and form new ones. Collisions that occur with less than this minimum energy simply bounce the particles apart without producing products.,claude-4.6-sonnet-thinking,13.9
HS-PS1-049,HS-PS1,HS-PS1-5,conceptual,Why does diluting a solution of reactants cause the reaction rate to decrease?,"Diluting a solution lowers the concentration of reactant particles, meaning there are fewer particles per unit volume. With less crowding, collisions between reactant molecules occur less frequently, so fewer reactions happen per second and the overall rate slows down.",claude-4.6-sonnet-thinking,9.45
HS-PS1-050,HS-PS1,HS-PS1-6,conceptual,Why does increasing the concentration of a reactant cause a reaction at equilibrium to produce more products?,"Adding more reactant increases the frequency of collisions among reactant molecules, so the forward reaction speeds up. The system then shifts toward the products side to re-establish equilibrium, resulting in a greater amount of product.",claude-4.6-sonnet-thinking,13.25
HS-PS1-051,HS-PS1,HS-PS1-6,conceptual,Why does removing a product from a reaction mixture cause the equilibrium to shift toward making more products?,"Removing a product lowers its concentration, which disrupts the balance between the forward and reverse reactions. According to Le Chatelier's Principle, the system compensates by shifting forward to replace the lost product, generating more of it.",claude-4.6-sonnet-thinking,11.75
HS-PS1-052,HS-PS1,HS-PS1-6,conceptual,How does increasing the temperature of an endothermic reaction cause the equilibrium to shift toward the products?,"In an endothermic reaction, heat acts like a reactant. Adding more heat drives the forward reaction faster, shifting the equilibrium toward the products side and increasing the yield of products.",claude-4.6-sonnet-thinking,13.25
HS-PS1-053,HS-PS1,HS-PS1-6,conceptual,Why does increasing pressure by decreasing volume shift a gas-phase equilibrium toward the side with fewer moles of gas?,"Decreasing volume increases the concentration of all gas molecules, raising the pressure. The system relieves this stress by shifting toward the side with fewer gas molecules, since that side takes up less space and reduces pressure.",claude-4.6-sonnet-thinking,11.69
HS-PS1-054,HS-PS1,HS-PS1-7,conceptual,Why must the number of atoms on the reactant side of a chemical equation equal the number of atoms on the product side?,"Atoms are neither created nor destroyed during a chemical reaction; they are only rearranged into new substances. Because every atom present before the reaction must still be present afterward, the count of each type of atom must be equal on both sides of the equation.",claude-4.6-sonnet-thinking,11.34
HS-PS1-055,HS-PS1,HS-PS1-7,conceptual,Why does the total mass of the products in a chemical reaction always equal the total mass of the reactants?,"Mass is conserved because atoms are conserved — the same atoms that make up the reactants are simply rearranged to form the products. Since no atoms are gained or lost, the total mass cannot change.",claude-4.6-sonnet-thinking,10.5
HS-PS1-056,HS-PS1,HS-PS1-7,conceptual,How does balancing a chemical equation show that mass is conserved during a reaction?,"Balancing an equation ensures that each element has the same number of atoms on both sides of the arrow, which represents the conservation of every atom. Because mass depends on the number and type of atoms present, equal atom counts on both sides confirm equal total mass.",claude-4.6-sonnet-thinking,10.1
HS-PS1-057,HS-PS1,HS-PS1-7,conceptual,"Why does it seem like mass is lost when a piece of wood burns, even though the law of conservation of mass says mass is conserved?","Mass is not actually lost; the carbon and other atoms in the wood combine with oxygen from the air to form gases like carbon dioxide and water vapor that escape into the atmosphere. If all reactants and products — including the gases — were measured, the total mass would remain the same.",claude-4.6-sonnet-thinking,8.62
HS-PS1-058,HS-PS1,HS-PS1-8,conceptual,Why does nuclear fusion release so much energy even though no chemical bonds are broken?,"In fusion, two light nuclei combine into a heavier nucleus, and the resulting nucleus has slightly less mass than the original nuclei combined. This 'missing' mass is converted directly into energy according to Einstein's equation E=mc², releasing an enormous amount of energy.",claude-4.6-sonnet-thinking,9.93
HS-PS1-059,HS-PS1,HS-PS1-8,conceptual,Why does the mass number of a nucleus decrease by 4 during alpha decay but stays the same during beta decay?,"In alpha decay, the nucleus emits an alpha particle consisting of 2 protons and 2 neutrons, directly reducing the mass number by 4. In beta decay, a neutron converts into a proton (or vice versa) and emits a beta particle, so the total number of nucleons stays the same and the mass number does not change.",claude-4.6-sonnet-thinking,10.02
HS-PS1-060,HS-PS1,HS-PS1-1,applied,"If you need a material that will not react easily with other elements, would you choose neon or sulfur? Use the periodic table to explain your choice.","Neon would be the better choice because it is a noble gas with a full outermost energy level (8 electrons), making it extremely unreactive. Sulfur has 6 valence electrons and readily forms bonds to complete its outer shell.",claude-4.6-sonnet-thinking,8.47
HS-PS1-061,HS-PS1,HS-PS1-1,applied,"A chemist needs an element that forms a +1 ion most easily. Based on valence electron patterns, which group of elements should she look in, and why?","She should look in Group 1 (alkali metals), because these elements have only one valence electron that is easily lost, forming a stable +1 ion and achieving a full outer energy level.",claude-4.6-sonnet-thinking,6.72
HS-PS1-062,HS-PS1,HS-PS1-1,applied,"You are comparing lithium, sodium, and potassium—all in Group 1. Which would you predict to be the most reactive with water, and why?","Potassium would be the most reactive because, as you go down Group 1, the outermost electron is farther from the nucleus and less strongly attracted, so it is lost more easily during reactions.",claude-4.6-sonnet-thinking,7.36
HS-PS1-063,HS-PS1,HS-PS1-1,applied,"Based on valence electron patterns, would you expect magnesium or chlorine to form a negative ion more easily? Explain.","Chlorine forms a negative ion more easily because it has 7 valence electrons and only needs one more to complete its outer shell, whereas magnesium has 2 valence electrons and tends to lose them to form a positive ion instead.",claude-4.6-sonnet-thinking,12.94
HS-PS1-064,HS-PS1,HS-PS1-1,applied,A student wants to predict which element—fluorine or iodine—would be a stronger oxidizing agent. What does the periodic table tell us about their valence electrons to make this prediction?,"Fluorine is the stronger oxidizing agent because it is at the top of Group 17 and its outermost electrons are closest to the nucleus, giving it the greatest tendency to attract and gain electrons from other atoms.",claude-4.6-sonnet-thinking,10.82
HS-PS1-065,HS-PS1,HS-PS1-2,applied,"If you mix potassium (K) with chlorine gas (Cl₂), what product would you predict forms, and why does this reaction occur readily?","Potassium chloride (KCl) forms because potassium has one outermost electron it readily donates and chlorine needs one electron to complete its outermost shell. This transfer of electrons satisfies both atoms' tendency to achieve a full outer shell, making the reaction favorable.",claude-4.6-sonnet-thinking,10.69
HS-PS1-066,HS-PS1,HS-PS1-2,applied,"Fluorine reacts explosively with hydrogen, while iodine reacts with hydrogen only slowly and incompletely. How do the outermost electron states of these halogens explain this difference in reactivity?","Fluorine's outermost electrons are in the second energy level, very close to the nucleus, so fluorine has an extremely strong attraction for an additional electron. Iodine's outermost electrons are in the fifth energy level, farther from the nucleus and more shielded, so it attracts electrons much less strongly, making it far less reactive.",claude-4.6-sonnet-thinking,13.89
HS-PS1-067,HS-PS1,HS-PS1-2,applied,"Carbon dioxide (CO₂) forms when carbon burns in excess oxygen, but carbon monoxide (CO) forms when oxygen is limited. Using electron sharing, predict which product is more stable and why.","CO₂ is more stable because carbon forms four covalent bonds (two double bonds with two oxygen atoms), fully using its four outermost electrons and satisfying the octet for all atoms involved. In CO, carbon only forms a triple bond with one oxygen atom and does not fully satisfy its bonding capacity, making it less stable and more reactive.",claude-4.6-sonnet-thinking,10.32
HS-PS1-068,HS-PS1,HS-PS1-2,applied,"Lithium reacts with oxygen to form Li₂O, while cesium reacts much more vigorously to form Cs₂O. Using periodic table trends, explain why cesium is more reactive with oxygen than lithium.","Cesium is in the same group as lithium but much lower in the periodic table, so its single outermost electron is farther from the nucleus and more shielded by inner electron shells. This makes it much easier to remove, so cesium loses its outermost electron more readily than lithium and reacts more vigorously with oxygen.",claude-4.6-sonnet-thinking,11.89
HS-PS1-069,HS-PS1,HS-PS1-2,applied,"Neon and argon are both found as unreactive gases in nature. If you tried to react argon with chlorine under normal conditions, what would you predict and why?","No reaction would occur because argon has a completely full outermost electron shell (eight electrons), giving it no tendency to gain, lose, or share electrons. Without an incomplete outer shell, argon has no chemical driving force to react with chlorine.",claude-4.6-sonnet-thinking,7.99
HS-PS1-070,HS-PS1,HS-PS1-3,applied,"If you observe that substance A has a much higher melting point than substance B, what can you infer about the electrical forces between the particles of each substance?","The higher melting point of substance A indicates stronger electrical (intermolecular or ionic) forces between its particles, because more thermal energy is required to overcome those attractions and allow the particles to move freely.",claude-4.6-sonnet-thinking,13.62
HS-PS1-071,HS-PS1,HS-PS1-3,applied,A student notices that candle wax melts easily on a warm day while a nearby iron nail does not. What does this bulk-scale observation suggest about the strength of electrical forces holding each material together?,"The ease of melting candle wax suggests weak electrical forces between its molecules, while the iron nail's resistance to melting indicates much stronger metallic bonding forces between its atoms.",claude-4.6-sonnet-thinking,10.79
HS-PS1-072,HS-PS1,HS-PS1-3,applied,Two liquids are placed in open containers: one evaporates quickly at room temperature and the other barely evaporates at all. What can you predict about the relative strength of electrical forces between the particles in each liquid?,"The liquid that evaporates quickly has weaker electrical (intermolecular) forces between its particles, since they require little energy to escape into the gas phase, while the slow-evaporating liquid has stronger intermolecular forces holding particles together.",claude-4.6-sonnet-thinking,12.04
HS-PS1-073,HS-PS1,HS-PS1-3,applied,A substance dissolves readily in water and conducts electricity when dissolved. How can you use this bulk-scale evidence to infer the type and strength of electrical forces in the original solid?,"The ability to dissolve in water and conduct electricity when dissolved suggests the substance is ionic, meaning it is held together by strong electrostatic attractions between oppositely charged ions that separate and carry charge in solution.",claude-4.6-sonnet-thinking,10.63
HS-PS1-074,HS-PS1,HS-PS1-4,applied,"When methane (CH₄) burns in oxygen to form carbon dioxide and water, the reaction releases a large amount of heat. Based on bond energies, what does this tell you about the bonds broken versus the bonds formed?","It tells you that the energy released when forming the new bonds in CO₂ and H₂O is greater than the energy required to break the bonds in CH₄ and O₂, so the overall reaction releases energy as heat, making it exothermic.",claude-4.6-sonnet-thinking,8.85
HS-PS1-075,HS-PS1,HS-PS1-4,applied,"A student mixes two chemicals and the flask feels cold afterward. Using the concept of bond energy, how would you explain what happened to the energy in that reaction?","The reaction is endothermic, meaning the energy required to break the bonds in the reactants is greater than the energy released when the new bonds form in the products, so the system absorbs heat from the surroundings, making the flask feel cold.",claude-4.6-sonnet-thinking,8.38
HS-PS1-076,HS-PS1,HS-PS1-4,applied,"Nitrogen gas (N₂) has a very strong triple bond. Predict whether breaking N₂ apart to form new compounds would require a large or small amount of energy, and what that means for reactions that start with N₂.","Breaking the triple bond in N₂ requires a very large amount of energy (about 945 kJ/mol), so reactions that start with N₂ as a reactant typically need significant energy input to get started because so much energy must first be absorbed to break that bond.",claude-4.6-sonnet-thinking,8.53
HS-PS1-077,HS-PS1,HS-PS1-4,applied,"Two different fuels are being compared: Fuel A releases 500 kJ per mole when burned, and Fuel B releases 1200 kJ per mole when burned. Using bond energy concepts, which fuel has a greater difference between the energy of bonds broken and bonds formed?","Fuel B has a greater difference; since it releases 1200 kJ per mole, the bonds formed in its combustion products are much stronger (lower energy) than the bonds broken in the reactants, resulting in a larger net release of energy compared to Fuel A.",claude-4.6-sonnet-thinking,10.96
HS-PS1-078,HS-PS1,HS-PS1-5,applied,"A glow stick glows brighter and fades faster when placed in warm water than in cold water. Using what you know about reaction rates, why does this happen?","Warmer water increases the temperature of the chemicals inside the glow stick, giving reacting particles more kinetic energy so they collide more frequently and with greater force. This speeds up the chemical reaction, causing brighter light that is used up more quickly.",claude-4.6-sonnet-thinking,5.46
HS-PS1-079,HS-PS1,HS-PS1-5,applied,A chef stores fresh-cut fruit in the refrigerator to slow browning. How does refrigeration affect the rate of the oxidation reaction causing the browning?,"Refrigeration lowers the temperature of the fruit, which reduces the kinetic energy of the reacting molecules. With less energy, collisions between oxygen and the fruit's compounds are less frequent and less forceful, slowing the oxidation reaction and delaying browning.",claude-4.6-sonnet-thinking,9.74
HS-PS1-080,HS-PS1,HS-PS1-5,applied,"In an experiment, hydrogen peroxide decomposes into water and oxygen gas. If you double the concentration of the hydrogen peroxide solution, what would you predict happens to the rate of decomposition?","Doubling the concentration of hydrogen peroxide increases the number of reactant molecules in a given volume, leading to more frequent collisions between particles. This increases the reaction rate, so the decomposition would proceed faster and produce oxygen gas more quickly.",claude-4.6-sonnet-thinking,13.67
HS-PS1-081,HS-PS1,HS-PS1-5,applied,"A factory uses a chemical reaction to produce a product, and engineers raise the reactor temperature from 25°C to 75°C. What effect would this change have on the production rate and why?","Raising the temperature significantly increases the average kinetic energy of the reacting particles, so they move faster and collide more often and with more energy. This increases the reaction rate, meaning the product would be made faster at 75°C than at 25°C.",claude-4.6-sonnet-thinking,9.09
HS-PS1-082,HS-PS1,HS-PS1-6,applied,"In the Haber process, nitrogen and hydrogen react to form ammonia: N₂ + 3H₂ ⇌ 2NH₃ + heat. If you want to maximize ammonia production, should you run the reaction at high pressure or low pressure, and why?","High pressure favors ammonia production because the reaction has 4 moles of gas on the left and only 2 on the right; increasing pressure shifts equilibrium toward the side with fewer moles of gas, producing more ammonia.",claude-4.6-sonnet-thinking,9.78
HS-PS1-083,HS-PS1,HS-PS1-6,applied,"The reaction SO₂ + NO₂ ⇌ SO₃ + NO is endothermic in the forward direction. If you want more SO₃ to form at equilibrium, should you increase or decrease the temperature?","You should increase the temperature because the forward reaction is endothermic; adding heat shifts the equilibrium toward the products, increasing the amount of SO₃ formed.",claude-4.6-sonnet-thinking,8.41
HS-PS1-084,HS-PS1,HS-PS1-6,applied,"In a sealed container, the reaction CO(g) + 3H₂(g) ⇌ CH₄(g) + H₂O(g) is at equilibrium. If you continuously remove water vapor as it forms, how does that affect the amount of CH₄ produced overall?","Removing water vapor as it forms shifts the equilibrium to the right to replace the removed product, so more CH₄ is produced overall compared to a closed system.",claude-4.6-sonnet-thinking,9.82
HS-PS1-085,HS-PS1,HS-PS1-6,applied,"A chemist is running the reversible reaction A(g) + B(g) ⇌ C(g) + heat. She finds the yield of C at equilibrium is too low. If she lowers the temperature, how will the yield of C change?","Lowering the temperature favors the exothermic forward reaction (which releases heat), shifting equilibrium to the right and increasing the yield of C.",claude-4.6-sonnet-thinking,5.49
HS-PS1-086,HS-PS1,HS-PS1-7,applied,"If 4 grams of hydrogen gas reacts completely with 32 grams of oxygen gas to form water, how many grams of water are produced?","36 grams of water are produced. According to conservation of mass, the total mass of products must equal the total mass of reactants (4 g + 32 g = 36 g).",claude-4.6-sonnet-thinking,10.98
HS-PS1-087,HS-PS1,HS-PS1-7,applied,A student burns a 10-gram magnesium ribbon in air and notices the resulting ash has a mass of about 16.6 grams. Why did the mass increase instead of decrease?,"The mass increased because magnesium atoms bonded with oxygen atoms from the air to form magnesium oxide. The law of conservation of mass still holds because if you count the oxygen gained from the air, total reactant mass equals total product mass.",claude-4.6-sonnet-thinking,7.56
